id,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
0,0.06433946639299393,0.05889652296900749,0.01803400367498398,0.33150050044059753,0.07032706588506699,0.1051364466547966,0.05663685500621796,0.05072243884205818,0.09822512418031693,0.14618156850337982
1,0.33032187819480896,0.26408278942108154,0.00013806187780573964,2.580823945663724e-07,9.511086318525486e-06,1.2871198862285382e-07,2.2981428173807217e-06,1.1296288704443214e-07,0.36254602670669556,0.042898911982774734
2,0.1844804584980011,0.02936978079378605,0.005355029366910458,0.0026622451841831207,0.0064275613985955715,0.0006117954035289586,0.001102419220842421,0.0004652998468372971,0.6886041164398193,0.08092132955789566
3,0.8624876141548157,0.01454244926571846,0.007525093387812376,0.002945962594822049,0.00378651125356555,0.00020089343888685107,0.0009246573317795992,0.00026934812194667757,0.08540412783622742,0.02191336080431938
4,0.0005739691550843418,0.0004394722345750779,0.0907154232263565,0.021261868998408318,0.16602252423763275,0.006078231148421764,0.7121345400810242,0.0025140163488686085,1.2771703950420488e-05,0.0002471436164341867
5,0.0009586763917468488,0.00028906221268698573,0.016499608755111694,0.03734550625085831,0.010773847810924053,0.052710991352796555,0.8738473057746887,0.0039964779280126095,0.0009842601139098406,0.0025942549109458923
6,0.002353804185986519,0.002949160523712635,0.01638171263039112,0.18236865103244781,0.014946348965168,0.573919951915741,0.005660117603838444,0.01583831198513508,0.0014235010603442788,0.18415847420692444
7,0.0015657159965485334,0.0004192421038169414,0.09650381654500961,0.010874805971980095,0.029367711395025253,0.0028001528698951006,0.8577211499214172,0.0004971926100552082,6.943308108020574e-05,0.00018075472326017916
8,0.004635301418602467,0.00012748755398206413,0.47324100136756897,0.4354732632637024,0.0015808123862370849,0.038868505507707596,0.04217781871557236,0.0033019636757671833,0.0003873716341331601,0.0002064899745164439
9,0.01252637431025505,0.07772708684206009,0.02571730688214302,0.022564154118299484,0.0009577046730555594,0.02782786637544632,0.029761172831058502,0.010320499539375305,0.0009625168167985976,0.7916353344917297
10,0.4743933379650116,0.0010520173236727715,0.20854996144771576,0.03556284308433533,0.1725773811340332,0.012952376157045364,0.024564415216445923,0.002704986836761236,0.060462597757577896,0.007180059794336557
11,7.387116056634113e-05,0.008395242504775524,2.2081896133840928e-07,9.761376986716641e-07,1.8841527662516455e-06,1.1074291705881478e-06,8.738799017748988e-09,1.2647215044125915e-06,7.811082468833774e-05,0.9914473295211792
12,0.0010334430262446404,0.0026875389739871025,0.004478612449020147,0.011141723021864891,0.9443867802619934,0.02148507349193096,0.007346324622631073,0.006512121297419071,0.0008097570389509201,0.00011860331142088398
13,6.531917051688652e-07,2.9083170716148743e-07,6.682730600005016e-07,2.309508772668778e-06,2.424966442049481e-05,0.00099371955730021,1.627493340095043e-08,0.9989780187606812,2.518009356577977e-09,6.764236104572774e-08
14,0.009626545011997223,0.1464744657278061,0.00024222697538789362,8.627039642306045e-05,5.191838863538578e-05,0.00011105951125500724,2.119292548741214e-05,9.434239473193884e-05,0.01662539504468441,0.8266665935516357
15,0.03588006645441055,0.07788456976413727,0.32128095626831055,0.009852436371147633,0.04649357870221138,0.003750517265871167,0.25363194942474365,0.0010043146321550012,0.23929929733276367,0.010922316461801529
16,0.07171940058469772,0.0033218644093722105,0.07077986747026443,0.34535109996795654,0.005185629241168499,0.26649051904678345,0.024455860257148743,0.040079206228256226,0.140392005443573,0.03222452104091644
17,0.005742608103901148,0.002065024571493268,0.060163065791130066,0.11989160627126694,0.012648414820432663,0.044172514230012894,0.5077850818634033,0.03421541675925255,0.0019729947671294212,0.21134325861930847
18,0.1593426614999771,0.002679486060515046,0.0018420025007799268,0.0004499541537370533,0.0018765486311167479,0.0001474174059694633,8.389999129576609e-05,4.3470325181260705e-05,0.7996195554733276,0.03391503542661667
19,0.0003193967277184129,0.0002151702792616561,0.0005537509568966925,0.002653368515893817,0.0029947543516755104,0.003089863806962967,0.989522397518158,0.0004982781829312444,1.354322193947155e-06,0.00015164348587859422
20,0.015877360478043556,0.0015429228078573942,0.03657802566885948,0.024316487833857536,0.0058336323127150536,0.09295188635587692,0.0405573807656765,0.7619078159332275,4.6873614337528124e-05,0.020387599244713783
